id,value,rate,,,rate1,,
BoxOffice,4000000000,1.8,,,7.182800274,2.982800274,13.42260124
BoxOffice.1996,1981753767,1.8,,,6.792857143,2.592857143,11.66785714
BoxOffice.1997,2287117535,1.8,,,6.792857143,2.592857143,11.66785714
BoxOffice.1998,2143029286,1.8,,,6.808333333,2.608333333,11.7375
BoxOffice.1999,2456515786,1.8,,,6.84,2.64,11.88
BoxOffice.2000,2338908844,1.8,,,6.823076923,2.623076923,11.80384615
BoxOffice.2001,1470813133,1.8,,,6.728571429,2.528571429,11.37857143
BoxOffice.2002,3301704516,2.4,,,8.061538462,3.861538462,17.37692308
BoxOffice.2003,2926077890,1.8,,,6.833333333,2.633333333,11.85
BoxOffice.2004,828865315,1.8,,,6.95,2.75,12.375
BoxOffice.2005,3147697801,2.4,,,8.0375,3.8375,17.26875
BoxOffice.2006,2999158651,1.8,,,6.8,2.6,11.7
BoxOffice.2007,3496696077,1.8,,,7,2.8,12.6
BoxOffice.2008,1419354904,1.8,,,6.95,2.75,12.375
BoxOffice.2009,3914574797,2.4,,,7.953846154,3.753846154,16.89230769
BoxOffice.2010,3365384556,1.8,,,6.714285714,2.514285714,11.31428571
BoxOffice.2011,701893762,1.8,,,7.05,2.85,12.825
BoxOffice.2012,4188138173,2.4,,,7.857142857,3.657142857,16.45714286
BoxOffice.2013,3639212512,1.8,,,7.353333333,3.153333333,14.19
BoxOffice.2014,3718084454,1.8,,,7.264285714,3.064285714,13.78928571
BoxOffice.2015,4154307349,1.8,,,7.313333333,3.113333333,14.01
BoxOffice.1996.Action,1056013549,1.8,,,7.18,2.98,13.41
BoxOffice.1996.Adventure,1045229032,1.8,,,6.68,2.48,11.16
BoxOffice.1996.Animation,190561206,1.8,,,6.6,2.4,10.8
BoxOffice.1996.Comedy,282390167,1.8,,,6.45,2.25,10.125
BoxOffice.1996.Crime,245154986,1.8,,,7,2.8,12.6
BoxOffice.1996.Drama,568305283,1.8,,,6.6625,2.4625,11.08125
BoxOffice.1996.Fantasy,104632573,1.2,,,6.4,2.2,9.9
BoxOffice.1996.Horror,103001286,1.8,,,7.2,3,13.5
BoxOffice.1996.Mystery,103001286,1.8,,,7.2,3,13.5
BoxOffice.1996.Romance,128769345,1.2,,,5.6,1.4,6.3
